id,scale_version,bullshit_receptivity_scale_1,bullshit_receptivity_scale_2,bullshit_receptivity_scale_3,bullshit_receptivity_scale_4,bullshit_receptivity_scale_5,bullshit_receptivity_scale_6,bullshit_receptivity_scale_7,bullshit_receptivity_scale_8,bullshit_receptivity_scale_9,bullshit_receptivity_scale_10,bullshit_receptivity_scale_11,bullshit_receptivity_scale_12,bullshit_receptivity_scale_13,bullshit_receptivity_scale_14,bullshit_receptivity_scale_15,bullshit_receptivity_scale_16,bullshit_receptivity_scale_17,bullshit_receptivity_scale_18,bullshit_receptivity_scale_19,bullshit_receptivity_scale_20,bullshit_receptivity_scale_21,bullshit_receptivity_scale_22,bullshit_receptivity_scale_23,bullshit_receptivity_scale_24,bullshit_receptivity_scale_25,bullshit_receptivity_scale_26,bullshit_receptivity_scale_27,bullshit_receptivity_scale_28,bullshit_receptivity_scale_29,bullshit_receptivity_scale_30,age,sex,bullshit_receptivity_scale_total
27,3,3,2,2,2,3,3,4,2,4,2,3,3,2,1,2,4,4,4,5,3,4,1,2,1,3,5,3,4,4,4,20,2,89
28,4,3,2,4,2,2,3,3,4,2,5,5,2,5,3,1,3,4,5,1,3,5,5,4,5,4,3,4,4,4,2,19,2,102
29,4,2,2,3,3,2,4,2,4,2,2,3,2,4,2,2,3,2,2,2,2,2,2,4,2,3,4,2,4,4,2,21,2,79
30,1,4,2,4,4,1,5,5,5,3,4,3,5,5,4,3,5,2,4,5,5,4,2,4,1,4,5,3,4,4,4,22,1,113
31,3,5,5,4,4,5,5,4,1,5,3,5,5,5,5,1,4,4,5,5,5,4,4,3,5,3,5,2,4,5,4,20,1,124
32,2,2,1,2,3,1,1,1,2,2,2,2,4,2,3,1,2,4,2,4,4,2,2,1,5,4,2,2,2,3,2,23,2,70
33,1,4,2,2,3,2,5,2,3,3,4,2,2,4,1,1,4,3,2,3,4,1,1,3,1,2,3,4,5,4,2,21,1,82
34,3,4,4,4,5,2,4,5,4,2,4,2,4,5,2,5,4,4,4,5,4,4,2,4,4,4,5,4,4,4,4,20,2,116
35,1,3,4,4,1,1,4,4,3,1,2,4,3,4,3,3,3,2,3,3,4,4,3,4,3,3,3,3,4,4,4,21,2,94
36,2,3,1,1,2,5,5,4,4,5,5,2,2,2,4,4,3,4,2,2,2,4,3,4,3,4,4,3,2,2,2,19,2,93
37,4,4,1,2,2,3,1,1,2,3,4,1,2,3,2,2,4,2,3,2,2,4,4,4,4,4,3,4,4,4,2,20,2,83
38,4,4,4,3,2,3,5,4,5,4,4,5,5,5,5,4,4,4,4,3,3,4,5,4,3,4,5,4,5,4,5,18,2,123
39,1,4,3,3,2,1,4,2,4,3,4,4,3,4,5,2,5,3,5,2,2,4,5,4,4,3,3,4,5,4,2,18,2,103
40,3,3,5,2,4,2,5,2,4,2,4,1,2,1,1,2,1,3,2,2,2,4,4,1,1,1,4,3,1,2,1,19,2,72
41,1,4,2,4,1,4,4,4,5,4,5,5,4,5,4,1,5,4,4,4,5,4,5,5,3,4,4,4,4,5,3,20,2,119
42,1,3,3,2,2,3,4,4,3,4,3,3,4,3,3,2,3,2,2,3,3,2,4,4,2,2,3,3,2,3,2,20,2,86
43,3,4,3,4,3,4,5,2,4,4,5,5,4,5,4,3,3,4,4,3,4,4,5,4,4,5,4,5,4,4,4,24,1,120
44,3,3,4,5,4,4,5,2,2,1,3,3,4,5,4,3,5,1,5,2,2,3,2,3,1,2,2,4,3,2,2,20,2,91
45,2,5,3,3,4,5,4,4,4,3,3,3,3,3,4,5,4,4,4,2,2,3,2,4,2,2,4,3,3,2,3,19,2,100
