id,date,time,condition,npi_total,sex,age,npi_1,npi_2,filler_1,npi_3,npi_4,npi_5,filler_2,npi_6,npi_7,npi_8,filler_3,npi_9,npi_10,npi_11,npi_12,npi_13,filler_4,npi_14,npi_15,npi_16,filler_5,npi_17,npi_18,filler_6,npi_19,npi_20,npi_21,filler_7,npi_22,npi_23,npi_24,filler_8,npi_25,npi_26,npi_27,filler_9,npi_28,npi_29,npi_30,filler_10,npi_31,npi_32,npi_33,filler_11,npi_34,npi_35,npi_36,filler_12,npi_37,npi_38,npi_39,filler_13,npi_40,certain_of_guess
46,12/6/2016,16:29:29,2,18,1,19,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,1,2,2,1,1,2,2,2,1,1,1,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1
47,12/6/2016,17:07:43,3,30,1,18,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,1,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1
48,12/6/2016,17:34:23,1,9,1,18,1,2,2,2,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,1,1,2,1,1,2,1,2,1,2,1,2,2,2,2,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,1
49,12/6/2016,17:47:17,2,15,1,18,1,2,2,2,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,1,1,1,2,1,2,2,2,2,1,2,1,2,4
50,12/6/2016,18:28:50,1,18,1,21,1,2,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,2,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,1,2,1,1,1,2,2,2,1
51,12/7/2016,11:08:33,3,17,1,19,1,2,2,2,1,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,2,2,2,2,1,2,2
52,12/7/2016,11:24:55,3,16,0,18,2,2,2,1,1,2,1,2,1,1,1,1,2,1,2,2,1,2,1,1,1,2,1,2,1,1,2,1,2,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,1,1,2,2,1,2,2,1,2,5
53,12/7/2016,12:06:35,1,9,1,18,2,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2,1,1,1,2,2,2,1,1,4
54,12/7/2016,12:23:48,2,19,0,18,1,2,2,2,1,1,1,2,1,1,2,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,2,1,2,1,2,1,2,2,2,2,1,2,2
55,12/7/2016,13:15:29,1,26,1,19,1,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,2,1,2,1,1,2,1,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,2,1,2,4
56,12/7/2016,13:28:49,2,22,1,18,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,2,1,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,2,1,2,2
57,12/7/2016,13:58:05,3,20,1,19,1,2,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,2
58,12/7/2016,14:24:49,3,23,1,22,1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,2,1,2,1,1,2,1,1,2,2,2,2,1,2,3
59,12/7/2016,15:08:31,1,21,0,19,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,2,2,1,1,2
