,congress,chamber,bioguide,last_name,state_x,district,party,votes,agree_pct,predicted_agree,net_trump_vote,Unnamed: 0,state_y,name,twitter_handle
423,116,house,R000575,Rogers,AL,3.0,R,81.0,0.9382716049382719,0.92656205,33.0,103,AL-03,Mike Rogers,@RepMikeRogersAL
424,116,house,R000575,Rogers,AL,3.0,R,81.0,0.9382716049382719,0.92656205,33.0,272,KY-05,Harold Rogers,@RepHalRogers
425,116,house,R000486,Roybal-Allard,CA,40.0,D,88.0,0.0568181818181818,0.05941626,-69.4,160,CA-40,Lucille Roybal-Allard,@RepRoybalAllard
426,116,house,R000515,Rush,IL,1.0,D,86.0,0.0697674418604651,0.06449593,-54.0,237,IL-01,Bobby Rush,@RepBobbyRush
427,116,house,R000576,Ruppersberger,MD,2.0,D,89.0,0.0674157303370786,0.07717702,-24.4,283,MD-02,C. Dutch Ruppersberger,@Call_Me_Dutch
428,116,house,R000577,Ryan,OH,13.0,D,75.0,0.08,0.15167309,-6.5,410,OH-13,Tim Ryan,@RepTimRyan
429,116,house,R000582,Roe,TN,1.0,R,84.0,0.9523809523809521,0.952407,57.0,451,TN-01,David Roe,@DrPhilRoe
430,116,house,R000585,Reed,NY,23.0,R,87.0,0.793103448275862,0.77855983,14.8,76,RI ,Jack Reed,@SenJackReed
431,116,house,R000585,Reed,NY,23.0,R,87.0,0.793103448275862,0.77855983,14.8,393,NY-23,Tom Reed,@RepTomReed
432,116,senate,R000122,Reed,RI,,D,43.0,0.13953488372093,0.22746102,-15.50854907,76,RI ,Jack Reed,@SenJackReed
433,116,senate,R000122,Reed,RI,,D,43.0,0.13953488372093,0.22746102,-15.50854907,393,NY-23,Tom Reed,@RepTomReed
434,116,house,R000588,Richmond,LA,2.0,D,84.0,0.0714285714285714,0.06636189999999999,-52.4,275,LA-02,Cedric Richmond,@RepRichmond
435,116,house,R000591,Roby,AL,2.0,R,80.0,0.9125,0.92604266,31.9,102,AL-02,Martha Roby,@RepMarthaRoby
436,116,house,R000597,Rice,SC,7.0,R,87.0,0.9425287356321842,0.85317066,18.9,374,NY-04,Kathleen Rice,@RepKathleenRice
