id,date,time,condition,threat,iat_order,gender,age,zipcode,conservative_ideology,right_ideology,god_belief,certain_of_god_belief,importance_of_religion,religious_attendance,frequency_of_prayer,religious_affiliation,belief_in_heaven,belief_in_hell,belief_in_miracles,belief_in_angels,belief_in_life_after_death,belief_in_the_soul,text_comprehension_G_1,text_comprehension_G_2,text_comprehension_G_3,text_comprehension_G_4,text_comprehension_G_5,duration_reading_text_G,text_comprehension_R_1,text_comprehension_R_2,text_comprehension_R_3,text_comprehension_R_4,text_comprehension_R_5,duration_reading_text_R,certain_of_guess,duration_reading_text_ALL,correct_reading_comprehension,religious_belief_total,IAT_score
82,11/20/2017,10:47:19,4,2,2,2,22,49418,6,6,2,6,4,4,3,6,5,4,5,4,4,4,2,1,3,3,1,155444,99,99,99,99,99,0,1,155444,4,26,0.52046656
83,11/20/2017,11:09:52,2,1,2,2,19,49315,5,5,2,6,4,4,4,5,4,3,5,4,5,5,99,99,99,99,99,0,2,2,1,1,2,72824,3,72824,5,26,0.741281884
84,11/20/2017,11:31:47,3,2,1,2,18,48706,4,7,2,5,4,4,6,7,3,3,4,3,3,2,2,1,3,3,1,83992,99,99,99,99,99,0,3,83992,4,18,0.753347807
85,11/20/2017,11:55:49,3,2,1,1,19,48307,11,11,2,6,3,3,2,6,5,5,5,5,5,5,2,1,3,2,1,44616,99,99,99,99,99,0,2,44616,3,30,0.94949486
86,11/20/2017,12:23:05,2,1,2,1,18,48917,4,4,2,7,5,5,7,5,5,5,5,5,5,5,99,99,99,99,99,0,2,2,1,1,1,68649,6,68649,4,30,0.720826502
87,11/20/2017,13:27:23,4,2,2,2,18,48089,2,2,1,2,1,1,1,2,3,3,1,2,4,2,2,1,3,1,1,100341,99,99,99,99,99,0,2,100341,3,15,0.283498676
88,11/20/2017,13:51:00,1,1,1,2,21,48642,8,7,2,7,4,4,7,5,2,4,4,5,4,4,99,99,99,99,99,0,2,2,1,1,1,46285,5,46285,4,23,0.707562486
89,11/20/2017,14:12:09,4,2,2,1,25,48642,3,3,1,6,3,1,2,1,3,3,5,1,2,3,2,1,3,3,1,121010,99,99,99,99,99,0,3,121010,4,17,0.034684562
90,11/20/2017,14:34:07,1,1,1,1,18,48813,5,5,1,4,1,2,1,1,3,3,3,3,4,4,99,99,99,99,99,0,2,2,1,1,2,77945,2,77945,5,20,0.777579305
91,11/20/2017,14:53:03,3,2,1,2,20,49346,4,3,2,6,5,5,4,6,5,4,4,4,4,5,2,1,2,3,2,92040,99,99,99,99,99,0,3,92040,4,26,1.123080942
92,11/20/2017,15:34:03,2,1,2,2,18,48178,8,10,2,5,4,3,2,6,5,5,5,4,5,2,99,99,99,99,99,0,2,2,1,1,1,66847,5,66847,4,26,0.833197522
93,11/20/2017,15:45:51,2,1,2,2,20,48224,6,6,2,7,6,5,6,5,5,5,5,5,5,5,99,99,99,99,99,0,2,2,2,1,1,51263,2,51263,3,30,0.709610967
94,11/20/2017,16:49:23,1,1,1,2,19,48858,5,6,2,4,3,1,1,12,3,3,4,4,4,4,99,99,99,99,99,0,2,2,1,1,2,53644,3,53644,5,22,1.348326366
95,11/20/2017,17:08:14,3,2,1,2,18,49546,5,4,2,1,2,4,1,7,3,3,4,3,4,4,2,1,2,2,1,48813,99,99,99,99,99,0,5,48813,2,21,0.787826117
96,11/20/2017,17:25:10,4,2,2,1,18,60451,7,8,1,6,2,2,1,6,2,1,3,3,2,3,2,1,3,3,2,50825,99,99,99,99,99,0,5,50825,5,14,1.140364557
97,11/20/2017,17:48:24,2,1,2,2,18,46062,8,7,2,7,5,5,6,7,5,5,5,5,5,5,99,99,99,99,99,0,2,2,1,1,1,60107,4,60107,4,30,0.361270712
98,11/20/2017,18:04:59,3,2,1,1,23,48367,4,5,2,4,3,2,2,5,4,4,3,2,4,3,2,1,3,3,2,77842,99,99,99,99,99,0,3,77842,5,20,0.745701609
99,11/20/2017,18:40:43,4,2,2,1,18,48045,4,5,2,6,4,4,2,7,4,4,5,5,3,3,2,1,3,1,1,76081,99,99,99,99,99,0,4,76081,3,24,0.398335116
100,11/20/2017,18:54:19,1,1,1,1,19,48850,6,9,2,5,4,4,6,6,5,4,4,3,5,4,99,99,99,99,99,0,2,2,1,2,1,61469,4,61469,3,25,1.249788296
101,11/20/2017,19:13:32,2,1,2,1,27,49310,2,2,2,4,3,2,1,12,3,3,3,3,4,4,99,99,99,99,99,0,2,2,1,1,1,82438,3,82438,4,20,0.580466321
102,11/21/2017,11:48:46,1,1,1,2,18,48051,5,11,2,5,4,3,4,5,5,4,5,4,5,4,99,99,99,99,99,0,2,2,1,1,1,78977,4,78977,4,27,0.586671253
103,11/21/2017,12:05:00,4,2,2,2,18,48640,6,6,2,1,1,4,2,7,1,2,5,4,5,5,2,1,3,3,2,84746,99,99,99,99,99,0,5,84746,5,22,0.917392451
104,11/21/2017,12:25:48,3,2,1,1,18,48441,11,11,2,7,4,4,7,6,5,5,5,5,5,5,2,1,2,3,2,47392,99,99,99,99,99,0,6,47392,4,30,1.249774181
105,11/21/2017,12:40:00,1,1,1,2,19,48152,5,5,2,5,4,4,6,5,4,3,4,4,4,4,99,99,99,99,99,0,2,2,1,1,2,52023,4,52023,5,23,0.947058278
106,11/21/2017,13:46:21,3,2,1,2,21,49759,3,3,1,3,3,3,1,10,3,3,2,2,3,3,2,1,3,3,1,85230,99,99,99,99,99,0,3,85230,4,16,0.980878383
107,11/21/2017,14:29:45,2,1,2,1,21,49797,8,7,2,5,3,1,2,5,4,4,4,3,4,3,99,99,99,99,99,0,2,2,1,1,1,60423,4,60423,4,22,1.007005305
